conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1930509482435740105,Thu Jun 05 06:18:23 +0000 2025,0,gue kaget krn selama ini beliau ngga pernah nunjukin klo suka sm kpop gtu beda sama dosen mk basing gue pas smt 1 yg beliau tuh sering mention bangtan pas lg kelas trs klo ngasih contoh kalimat mesti nama orangnya pake nama member bangtan. lucu bgt pls ibu2 pd suka bangtan ,1930509488211046714,,tekoofairy,in,,0,0,0,https://x.com/undefined/status/1930509488211046714,1113938335192379392,
1930509452072878209,Thu Jun 05 06:18:15 +0000 2025,0,emg maha sibuk banget ya dosen,1930509452072878209,,,in,,0,0,0,https://x.com/undefined/status/1930509452072878209,1242728799218745344,
1930242409998245916,Thu Jun 05 06:17:54 +0000 2025,0,@Dosen_Genosse Ich lade meine Armbrust schonmal durch,1930509367448596508,,Dosen_Genosse,de,,0,0,0,https://x.com/undefined/status/1930509367448596508,1137643923797684224,
1930509266538115294,Thu Jun 05 06:17:30 +0000 2025,0,dikasih dosen.. :0 thanks pak semoga nilai saya A https://t.co/5ZPBTpmlb0,1930509266538115294,https://pbs.twimg.com/media/GsqL8YBaQAACWiM.jpg,,in,,0,0,0,https://x.com/undefined/status/1930509266538115294,1378206227449049091,
1930502682961154220,Thu Jun 05 06:17:04 +0000 2025,0,@ug_fess Tergantung dosen dia penilaiannya dari apa aja. Tp kalo gk ikut UTS &amp; dosen gk mau ngasih susulan dapet nilai biasanya D tapi harus ikut UAS. Kalo mau UM kamu beli vouchernya di kampus D harganya 100K/matkul kamu pastiin matkul itu bisa UM apa gak. Kalo bisa baru beli voucher,1930509156425089340,,ug_fess,in,,0,0,0,https://x.com/undefined/status/1930509156425089340,1068902515591135233,
1930508786004890099,Thu Jun 05 06:15:36 +0000 2025,0,dosen paling sangar w bingung knp dia masih di sini,1930508786004890099,,,in,,0,0,0,https://x.com/undefined/status/1930508786004890099,1821152013230731266,
1930508780959408537,Thu Jun 05 06:15:35 +0000 2025,0,Udah pasti itu dosen islamophobik,1930508780959408537,,,in,,0,0,0,https://x.com/undefined/status/1930508780959408537,1611127122655055876,
1865775946994974931,Thu Jun 05 06:15:27 +0000 2025,0,@akunndut kakk itu boleh di share gaa kak? soalnya aku ada tugas dari dosen harus pake psak tapi gatau bacanya dimana,1930508748751282303,,akunndut,in,,0,0,0,https://x.com/undefined/status/1930508748751282303,1522585261523103744,
1930178607458201821,Thu Jun 05 06:15:03 +0000 2025,0,@2d1ns3 @bluwbelli 1 dosen cuma jadi doswal untuk 5 sampai 10 mahasiswa aja.. 32 banyak banget,1930508649543377058,,2d1ns3,in,,0,0,0,https://x.com/undefined/status/1930508649543377058,1774289422860845056,
1930508622859251782,Thu Jun 05 06:14:57 +0000 2025,2,this is how angkat tangan terus ngejawab bener pertanyaan dosen jadinya temen di kelas pada nggak perlu dipanggil buat jawab feels like:,1930508622859251782,,,in,,0,0,0,https://x.com/undefined/status/1930508622859251782,1281617560211841024,
1930508557176451484,Thu Jun 05 06:14:41 +0000 2025,0,kalo dosen ga muncul alangkah baiknya kita cabs berjamaah temen temen,1930508557176451484,,,in,,0,0,0,https://x.com/undefined/status/1930508557176451484,1811369082442399744,
1930508448401342683,Thu Jun 05 06:14:15 +0000 2025,0,Sekarang sy paham kenapa dosen-dosen saya dulu lebih banyak balas pesan itu singkat. Bukan karena jutek salah satunya karena exhausted. Pesan wa notif ga ada habisnya Mungkin next mau pake rules komunikasi berkaitan dg pekerjaan wajib via email saja. ,1930508448401342683,,,in,,0,1,0,https://x.com/undefined/status/1930508448401342683,98795497,
1930508278582387132,Thu Jun 05 06:13:35 +0000 2025,0,: ayo semangat belajarnya tiaraa tp jd dosen juga berat dan gada duitnya ‍ : then thats the bridge i'll have to cross mba ↔️,1930508278582387132,,,in,,0,0,0,https://x.com/undefined/status/1930508278582387132,1308746661770924034,
1930178607458201821,Thu Jun 05 06:13:20 +0000 2025,0,@bluwbelli Di kampus w dulu ada grup dosen wali dan dosen pembimbing aja sih..,1930508216540320187,,bluwbelli,in,,0,0,0,https://x.com/undefined/status/1930508216540320187,231379990,
1930508120037773554,Thu Jun 05 06:12:57 +0000 2025,0,emang aku se kecil itu ya masa sama dosen dibilang kek anak smp padahal udah mau lulus kuliah loh pak,1930508120037773554,,,in,,0,0,0,https://x.com/undefined/status/1930508120037773554,1339140768074661888,
1930507544822505912,Thu Jun 05 06:12:48 +0000 2025,0,plus kita dituntut lebih proaktif belajar mandiri sebelum dan sesudah tapi dosen tetep NGAJAR lagi kurikulumnya padet strukturnya jelas penasaran bgt knp sekolah ga ditetapin kayak gt,1930508081194315939,,project_sapi,in,,0,0,0,https://x.com/undefined/status/1930508081194315939,1499660540750495747,
1930507989238325706,Thu Jun 05 06:12:26 +0000 2025,0,PANIK SIALAN DOSEN BILANG SEMUA KELOMPOK PRESENTASI GUE KELOMPOK 15 TERAKHIR BELUM BIKIN SAMA SEKALI MASALAHNYA LAGI PRESENTASI KELOMPOK 13 SEDANGKAN GUE BENTAR LAGI AKHIRNYA GUE NGEBUT SAMA TEMEN BIKIN INI CARI INI BANYAK TYPO ANJIR BELUM SELESAI NIH PPT PANIK BANGET,1930507989238325706,,,in,,0,0,0,https://x.com/undefined/status/1930507989238325706,1355469320051060743,
1930507884040753431,Thu Jun 05 06:12:01 +0000 2025,0,benefit masuk sains data its daripada statistika its sometimes diajarin dari dosen luar dapetin beberapa prioritas yg ga kalian dapetin di stat reguler dosen anggep pemahaman bahasa kalian setara iup,1930507884040753431,,,in,,0,1,0,https://x.com/undefined/status/1930507884040753431,1472372825289723905,
1930507865086972309,Thu Jun 05 06:11:56 +0000 2025,3,jajan kita dibayarin sama dosen wkwkw https://t.co/GVJeCh9sb2,1930507865086972309,https://pbs.twimg.com/media/GsqKqWFaMAAPrtz.jpg,,in,,0,0,0,https://x.com/undefined/status/1930507865086972309,1481444156602200066,
1930146914017644946,Thu Jun 05 06:11:40 +0000 2025,0,@AshishSinghKiJi @RahulGandhi Jannayak? He a grown immature frustrated LoP. Dosen't see that he is speaking below the belt while addressing a meeting. He is a Gandhi? Lives on his family's past laurels. Old young leader!,1930507798221127783,,AshishSinghKiJi,en,,0,0,0,https://x.com/undefined/status/1930507798221127783,15702402,
1930507393370357890,Thu Jun 05 06:10:04 +0000 2025,1,Ngapain kuliah salim? Mending cium kening dosen. Atau ngga peluk dari belakang sambil bilang capek ngajar ya sayang? istirahat yuk ,1930507393370357890,,,in,,0,1,0,https://x.com/undefined/status/1930507393370357890,1408590008781398025,
1930507318200012933,Thu Jun 05 06:09:46 +0000 2025,12,Kolpri dosen x mahasiswi rame viral disini komplitnya https://t.co/6NBVV1ElgL https://t.co/gdztGqBChe https://t.co/FN62cqYznI https://t.co/HBEr2yhUDf,1930507318200012933,https://pbs.twimg.com/media/GsqKLGfawAAabiU.jpg,,in,,0,1,7,https://x.com/undefined/status/1930507318200012933,525314440,
1930507253779726821,Thu Jun 05 06:09:31 +0000 2025,0,memang ni dosen bhs inggris bekeng pastiu skali eh-_------,1930507253779726821,,,in,,0,0,0,https://x.com/undefined/status/1930507253779726821,1310917677842485248,
1930127426450788679,Thu Jun 05 06:09:25 +0000 2025,0,@GreyStudio15721 @tanyarlfes bahkan dosen gizi gue blg lbh berbahaya gula ketimbang msg,1930507230102917180,,GreyStudio15721,in,,0,0,0,https://x.com/undefined/status/1930507230102917180,1193899927891349504,
1930504467922719144,Thu Jun 05 06:08:38 +0000 2025,0,@mvbee_ Same way burna dosen't care too ode,1930507031988891766,,mvbee_,en,,0,0,0,https://x.com/undefined/status/1930507031988891766,1855979533922369536,
1930506967648469327,Thu Jun 05 06:08:22 +0000 2025,0,Gajadi bimbingan dosen ya ga ada kabar,1930506967648469327,,,in,,0,0,0,https://x.com/undefined/status/1930506967648469327,1336497887941861382,
1930506678635819159,Thu Jun 05 06:07:13 +0000 2025,0,Kata dosen hukum gue kalian keliru 58% itu keliru ,1930506678635819159,,,in,,0,1,0,https://x.com/undefined/status/1930506678635819159,1391914737122742274,
1930465733101924491,Thu Jun 05 06:06:51 +0000 2025,0,@haaveecee lebih baik curcol ke dosen + muka selalu melas ,1930506585627119668,,haaveecee,in,,0,0,0,https://x.com/undefined/status/1930506585627119668,837974483897987072,
1930506502755975375,Thu Jun 05 06:06:31 +0000 2025,0,#INFO_KULIAH : Teknik Keselamatan dan Kesehatan Kerja TI Kls C Dosen Ratna Tungga Dewa (RTD) Kamis 5/6/2025 Sesi 4 dilaksanakan secara Sinkron. Untuk diperhatikan.,1930506502755975375,,,in,,0,0,0,https://x.com/undefined/status/1930506502755975375,524522070,
1930505124973277294,Thu Jun 05 06:06:26 +0000 2025,0,@collegemfs Kak jujur dlu pas mau sidang jg kaya kamu nder. Banyak hal yg aku takutkan ngebayangin dibantai abis2 an sama dosen penguji. Tapi pas mulai sidang semua rasa takut itu hilang nder bahkan aku gada gugup sama sekali. Pas udh kelar yaudah lega banget rasanya.,1930506481763524905,,collegemfs,in,,0,0,0,https://x.com/undefined/status/1930506481763524905,1438490394166104068,
1930506209712586862,Thu Jun 05 06:05:22 +0000 2025,0,Ayolah dulu pas S1 aja bisa juggling dalam satu semester skripsi+asdos+research assistant+dosen+ngehadirin kelas,1930506209712586862,,,in,,0,1,0,https://x.com/undefined/status/1930506209712586862,780895876311027716,
1930505912625799603,Thu Jun 05 06:04:11 +0000 2025,0,namanya grup kelas bareng dosen PA sayangku,1930505912625799603,,,in,,0,0,0,https://x.com/undefined/status/1930505912625799603,1256050338429169665,
