created_at,full_text,tweet_url,text_clean,text_StopWord,text_tokens,text_steamindo,polarity,subjectivity,sentiment,Sentiment
Sun Oct 01 13:55:36 +0000 2023,3 web kursus online gratis untuk persiapan kerja + dapat sertifikat: 1. futurelearn. com untuk kursus IELTS 2. advernesia. com untuk belajat EXCEL 3. learningdigital. withgoogle. com untuk kursus digital marketing fokus upgrade porto biar enak cari kerja!,https://x.com/undefined/status/1708480788931748264, web kursus online gratis untuk persiapan kerja  dapat sertifikat  futurelearn com untuk kursus ielts  advernesia com untuk belajat excel  learningdigital withgoogle com untuk kursus digital marketing fokus upgrade porto biar enak cari kerja,web kursus online gratis persiapan kerja sertifikat futurelearn com kursus ielts advernesia com belajat excel learningdigital withgoogle com kursus digital marketing fokus upgrade porto enak cari kerja,"['web', 'kursus', 'online', 'gratis', 'persiapan', 'kerja', 'sertifikat', 'futurelearn', 'com', 'kursus', 'ielts', 'advernesia', 'com', 'belajat', 'excel', 'learningdigital', 'withgoogle', 'com', 'kursus', 'digital', 'marketing', 'fokus', 'upgrade', 'porto', 'enak', 'cari', 'kerja']",web kursus online gratis siap kerja sertifikat futurelearn com kursus ielts advernesia com belajat excel learningdigital withgoogle com kursus digital marketing fokus upgrade porto enak cari kerja,0.0,0.0,,Negatif
Wed May 25 11:23:49 +0000 2022, Siapa yang pengen produktif tapi bingung mau ngapain ???? Coba aja ikutan kursus atau kelas online untuk menambah skill kamu. Nih aku kasih daftar akun penyelenggaranya :) [A THREAD] https://t.co/OqCCLWxGgs,https://x.com/undefined/status/1529422983470907393, siapa yang pengen produktif tapi bingung mau ngapain  coba aja ikutan kursus atau kelas online untuk menambah skill kamu nih aku kasih daftar akun penyelenggaranya  a thread ,pengen produktif bingung ngapain coba ikutan kursus kelas online menambah skill daftar akun penyelenggaranya a thread,"['pengen', 'produktif', 'bingung', 'ngapain', 'coba', 'ikutan', 'kursus', 'kelas', 'online', 'menambah', 'skill', 'daftar', 'akun', 'penyelenggaranya', 'a', 'thread']",ken produktif bingung ngapain coba ikut kursus kelas online tambah skill daftar akun selenggara a thread,0.5,1.0,,Positif
Mon Oct 18 10:00:25 +0000 2021,𝐑𝐚𝐜𝐮𝐧 𝐁𝐮𝐤𝐮 𝐮𝐧𝐭𝐮𝐤 𝐏𝐞𝐫𝐬𝐢𝐚𝐩𝐚𝐧 𝐔𝐓𝐁𝐊-𝐦𝐮 𝐀 𝐓𝐇𝐑𝐄𝐀𝐃 https://t.co/sStvFHUjkv,https://x.com/undefined/status/1450039053089329153,       ,,[],,0.0,0.0,,Negatif
Tue May 11 00:31:56 +0000 2021,Asli berasa kek kuliah di website ini bener-bener diajarin mulai dari 0 recommended abis! https://t.co/vq2ZhTNlS3,https://x.com/undefined/status/1391913933506703364,asli berasa kek kuliah di website ini benerbener diajarin mulai dari  recommended abis ,asli berasa kek kuliah website benerbener diajarin recommended abis,"['asli', 'berasa', 'kek', 'kuliah', 'website', 'benerbener', 'diajarin', 'recommended', 'abis']",asli asa kek kuliah website benerbener diajarin recommended abis,0.0,0.0,,Negatif
Tue Jun 07 03:16:21 +0000 2022,เฮ้ยอันนี้เจ๋ง มหาวิทยาลัยมหิดลเปิดคอร์สเรียนออนไลน์ มีหลายสาขาวิชามากตั้งแต่ ฝึกพูด อ่าน เขียน ภาษาอังกฤษ ไปจนพยาบาลศาสตร์ จิตวิทยา การบริหาร บัญชี เอาง่ายๆมีแทบหมด แถมถ้าเรียนจบคอร์สมีใบ Certificate ให้ด้วย และย้ำ!! มันฟรี!! ไปเลย ไปตำ Link: https://t.co/zbtXKNwH7f https://t.co/bxh4Zcq488,https://x.com/undefined/status/1534011353597218816,             certificate      link  ,certificate link,"['certificate', 'link']",certificate link,0.0,0.0,,Negatif
Mon Oct 09 04:50:52 +0000 2023,Buat yang nyari Pelatihan kursus online berserifikat dan gratis nih listnya: - Coursera - Class central - QuBisa - Alison - Google Digital Garage - Udemy - Digital Talant Schoolarship kominfo - Grow with Google Indonesia Kalo LPK offline gratis dan berserifikat - BLK,https://x.com/undefined/status/1711242802758390123,buat yang nyari pelatihan kursus online berserifikat dan gratis nih listnya  coursera  class central  qubisa  alison  google digital garage  udemy  digital talant schoolarship kominfo  grow with google indonesia kalo lpk offline gratis dan berserifikat  blk,nyari pelatihan kursus online berserifikat gratis listnya coursera class central qubisa alison digital garage udemy digital talant schoolarship kominfo grow with indonesia lpk offline gratis berserifikat blk,"['nyari', 'pelatihan', 'kursus', 'online', 'berserifikat', 'gratis', 'listnya', 'coursera', 'class', 'central', 'qubisa', 'alison', 'digital', 'garage', 'udemy', 'digital', 'talant', 'schoolarship', 'kominfo', 'grow', 'with', 'indonesia', 'lpk', 'offline', 'gratis', 'berserifikat', 'blk']",nyari latih kursus online berserifikat gratis listnya coursera class central qubisa alison digital garage udemy digital talant schoolarship kominfo grow with indonesia lpk offline gratis berserifikat blk,0.0,0.08333333333333333,,Negatif
Sat Dec 23 03:01:57 +0000 2023,4 online course gratis buat upgrade skills bersertifikat alison digitalent kominfo edx google garage 4 aplikasi buat jual foto terpercaya iStock shutterstock EyeEm adobe stock web buat jual catatan waktu sekolah/kuliah studypool,https://x.com/undefined/status/1738394486169030862, online course gratis buat upgrade skills bersertifikat alison digitalent kominfo edx google garage  aplikasi buat jual foto terpercaya istock shutterstock eyeem adobe stock web buat jual catatan waktu sekolahkuliah studypool,online course gratis upgrade skills bersertifikat alison digitalent kominfo edx garage aplikasi jual foto terpercaya istock shutterstock eyeem adobe stock web jual catatan sekolahkuliah studypool,"['online', 'course', 'gratis', 'upgrade', 'skills', 'bersertifikat', 'alison', 'digitalent', 'kominfo', 'edx', 'garage', 'aplikasi', 'jual', 'foto', 'terpercaya', 'istock', 'shutterstock', 'eyeem', 'adobe', 'stock', 'web', 'jual', 'catatan', 'sekolahkuliah', 'studypool']",online course gratis upgrade skills sertifikat alison digitalent kominfo edx garage aplikasi jual foto percaya istock shutterstock eyeem adobe stock web jual catat sekolahkuliah studypool,0.0,0.0,,Negatif
Sun Oct 08 07:32:27 +0000 2023,bootcamp bersertifikat gratis dari pemerintah: studi independen digitalent. kominfo. go. id pelatihan kemenaker chanel untuk belajar cpns: yt privat al-faiz yt viracun yt buku cpns web kitalulus info magang virtual terbaik: rakamin academy,https://x.com/undefined/status/1710921079898907055,bootcamp bersertifikat gratis dari pemerintah studi independen digitalent kominfo go id pelatihan kemenaker chanel untuk belajar cpns yt privat alfaiz yt viracun yt buku cpns web kitalulus info magang virtual terbaik rakamin academy,bootcamp bersertifikat gratis pemerintah studi independen digitalent kominfo go id pelatihan kemenaker chanel belajar cpns yt privat alfaiz yt viracun yt buku cpns web kitalulus info magang virtual terbaik rakamin academy,"['bootcamp', 'bersertifikat', 'gratis', 'pemerintah', 'studi', 'independen', 'digitalent', 'kominfo', 'go', 'id', 'pelatihan', 'kemenaker', 'chanel', 'belajar', 'cpns', 'yt', 'privat', 'alfaiz', 'yt', 'viracun', 'yt', 'buku', 'cpns', 'web', 'kitalulus', 'info', 'magang', 'virtual', 'terbaik', 'rakamin', 'academy']",bootcamp sertifikat gratis perintah studi independen digitalent kominfo go id latih kemenaker chanel ajar cpns yt privat alfaiz yt viracun yt buku cpns web kitalulus info magang virtual baik rakamin academy,0.0,0.0,,Negatif
Mon Sep 20 09:31:23 +0000 2021,Menurutku sistem belajar online kini jauh lebih strategis dibandingkan belajar offline. Dalam thread ini aku ingin berbagi tips praktis untuk memahami materi kuliah/webinar online. A (based on experience) thread. https://t.co/g3IDOz5OzJ,https://x.com/undefined/status/1439884888606318592,menurutku sistem belajar online kini jauh lebih strategis dibandingkan belajar offline dalam thread ini aku ingin berbagi tips praktis untuk memahami materi kuliahwebinar online a based on experience thread ,menurutku sistem belajar online strategis dibandingkan belajar offline thread berbagi tips praktis memahami materi kuliahwebinar online a based on experience thread,"['menurutku', 'sistem', 'belajar', 'online', 'strategis', 'dibandingkan', 'belajar', 'offline', 'thread', 'berbagi', 'tips', 'praktis', 'memahami', 'materi', 'kuliahwebinar', 'online', 'a', 'based', 'on', 'experience', 'thread']",turut sistem ajar online strategis banding ajar offline thread bagi tips praktis paham materi kuliahwebinar online a based on experience thread,0.0,0.0,,Negatif
Sun Jul 18 08:43:38 +0000 2021,Pembelajaran Jarak Jauh (PJJ) bagi sebagian orang lebih sulit dibandingkan dengan belajar bertatap muka secara langsung terutama dalam memahami materi. Disini Aku mau nyoba share beberapa tips yg aku pake selama kuliah online agar lebih mudah memahami materi. - a thread - https://t.co/KGohrQTghx,https://x.com/undefined/status/1416680047465832452,pembelajaran jarak jauh pjj bagi sebagian orang lebih sulit dibandingkan dengan belajar bertatap muka secara langsung terutama dalam memahami materi disini aku mau nyoba share beberapa tips yg aku pake selama kuliah online agar lebih mudah memahami materi  a thread  ,pembelajaran jarak pjj orang sulit dibandingkan belajar bertatap muka langsung memahami materi nyoba share tips pake kuliah online mudah memahami materi a thread,"['pembelajaran', 'jarak', 'pjj', 'orang', 'sulit', 'dibandingkan', 'belajar', 'bertatap', 'muka', 'langsung', 'memahami', 'materi', 'nyoba', 'share', 'tips', 'pake', 'kuliah', 'online', 'mudah', 'memahami', 'materi', 'a', 'thread']",ajar jarak pjj orang sulit banding ajar tatap muka langsung paham materi nyoba share tips pake kuliah online mudah paham materi a thread,0.0,0.0,,Negatif
Wed Feb 03 01:49:26 +0000 2021,‼️ Paket belajar Pejuang 2021 ‼️ { Catatan TPS Zenius lengkap TKA SOSHUM Zenius E-book(kedinasan ujian Mandiri dan UTBK) &amp; Modul²} By: @scftsmiley__ https://t.co/aFSib68mvq,https://x.com/undefined/status/1356781813646065664, paket belajar pejuang    catatan tps zenius lengkap tka soshum zenius ebookkedinasan ujian mandiri dan utbk amp modul by  ,paket belajar pejuang catatan tps zenius lengkap tka soshum zenius ebookkedinasan ujian mandiri utbk modul by,"['paket', 'belajar', 'pejuang', 'catatan', 'tps', 'zenius', 'lengkap', 'tka', 'soshum', 'zenius', 'ebookkedinasan', 'ujian', 'mandiri', 'utbk', 'modul', 'by']",paket ajar juang catat tps zenius lengkap tka soshum zenius ebookkedinasan uji mandiri utbk modul by,0.0,0.0,,Negatif
Sat Aug 07 11:42:08 +0000 2021,Website yang berguna untuk membantu kelas online ,https://x.com/undefined/status/1423972723978506241,website yang berguna untuk membantu kelas online ,website berguna membantu kelas online,"['website', 'berguna', 'membantu', 'kelas', 'online']",website guna bantu kelas online,0.0,0.0,,Negatif
Sun Oct 03 13:38:06 +0000 2021,Ini kalo offline pasti bakal memorable banget pembubaran 4 jurusan. Pasti pecah banget 4 warna ngerayain bareng. Sedih nontonnya terpikir banyak momen yang hilang gara-gara pjj. Kampus juga kayaknya ga bakal serame ini lagi eventnya karena elkam dan mahasiswa ga sebanyak dulu https://t.co/PqnQj0WayA,https://x.com/undefined/status/1444658018243596301,ini kalo offline pasti bakal memorable banget pembubaran  jurusan pasti pecah banget  warna ngerayain bareng sedih nontonnya terpikir banyak momen yang hilang garagara pjj kampus juga kayaknya ga bakal serame ini lagi eventnya karena elkam dan mahasiswa ga sebanyak dulu ,offline memorable pembubaran jurusan pecah warna ngerayain bareng sedih nontonnya terpikir momen hilang garagara pjj kampus kayaknya serame eventnya elkam mahasiswa,"['offline', 'memorable', 'pembubaran', 'jurusan', 'pecah', 'warna', 'ngerayain', 'bareng', 'sedih', 'nontonnya', 'terpikir', 'momen', 'hilang', 'garagara', 'pjj', 'kampus', 'kayaknya', 'serame', 'eventnya', 'elkam', 'mahasiswa']",offline memorable bubar jurus pecah warna ngerayain bareng sedih nontonnya pikir momen hilang garagara pjj kampus kayak serame eventnya elkam mahasiswa,0.5,1.0,,Positif
Sun Sep 12 15:10:52 +0000 2021,kuliah offline cuma sampe semester 3 terus lanjut kuliah online sampe semester 7 sekarang tau tau sempro dan sidang skripsi offline. indahnya angkatan 2018 wkwkwkwk,https://x.com/undefined/status/1437071217958080517,kuliah offline cuma sampe semester  terus lanjut kuliah online sampe semester  sekarang tau tau sempro dan sidang skripsi offline indahnya angkatan  wkwkwkwk,kuliah offline sampe semester kuliah online sampe semester sempro sidang skripsi offline indahnya angkatan wkwkwkwk,"['kuliah', 'offline', 'sampe', 'semester', 'kuliah', 'online', 'sampe', 'semester', 'sempro', 'sidang', 'skripsi', 'offline', 'indahnya', 'angkatan', 'wkwkwkwk']",kuliah offline sampe semester kuliah online sampe semester sempro sidang skripsi offline indah angkat wkwkwkwk,0.0,0.0,,Negatif
Thu Mar 04 10:59:20 +0000 2021,buka web online course universitas ternama ini kalo kalian lagi nyari ilmu tambahan atau gabut. free to affordable prices - a thread,https://x.com/undefined/status/1367429447993892867,buka web online course universitas ternama ini kalo kalian lagi nyari ilmu tambahan atau gabut free to affordable prices  a thread,buka web online course universitas ternama nyari ilmu tambahan gabut free to affordable prices a thread,"['buka', 'web', 'online', 'course', 'universitas', 'ternama', 'nyari', 'ilmu', 'tambahan', 'gabut', 'free', 'to', 'affordable', 'prices', 'a', 'thread']",buka web online course universitas nama nyari ilmu tambah gabut free to affordable prices a thread,0.4,0.8,,Positif
