created_at,full_text,tweet_url,text_clean
Sun Oct 01 13:55:36 +0000 2023,3 web kursus online gratis untuk persiapan kerja + dapat sertifikat: 1. futurelearn. com untuk kursus IELTS 2. advernesia. com untuk belajat EXCEL 3. learningdigital. withgoogle. com untuk kursus digital marketing fokus upgrade porto biar enak cari kerja!,https://x.com/undefined/status/1708480788931748264, web kursus online gratis untuk persiapan kerja  dapat sertifikat  futurelearn com untuk kursus IELTS  advernesia com untuk belajat EXCEL  learningdigital withgoogle com untuk kursus digital marketing fokus upgrade porto biar enak cari kerja
Wed May 25 11:23:49 +0000 2022, Siapa yang pengen produktif tapi bingung mau ngapain ???? Coba aja ikutan kursus atau kelas online untuk menambah skill kamu. Nih aku kasih daftar akun penyelenggaranya :) [A THREAD] https://t.co/OqCCLWxGgs,https://x.com/undefined/status/1529422983470907393, Siapa yang pengen produktif tapi bingung mau ngapain  Coba aja ikutan kursus atau kelas online untuk menambah skill kamu Nih aku kasih daftar akun penyelenggaranya  A THREAD 
Mon Oct 18 10:00:25 +0000 2021,𝐑𝐚𝐜𝐮𝐧 𝐁𝐮𝐤𝐮 𝐮𝐧𝐭𝐮𝐤 𝐏𝐞𝐫𝐬𝐢𝐚𝐩𝐚𝐧 𝐔𝐓𝐁𝐊-𝐦𝐮 𝐀 𝐓𝐇𝐑𝐄𝐀𝐃 https://t.co/sStvFHUjkv,https://x.com/undefined/status/1450039053089329153,       
Tue May 11 00:31:56 +0000 2021,Asli berasa kek kuliah di website ini bener-bener diajarin mulai dari 0 recommended abis! https://t.co/vq2ZhTNlS3,https://x.com/undefined/status/1391913933506703364,Asli berasa kek kuliah di website ini benerbener diajarin mulai dari  recommended abis 
Tue Jun 07 03:16:21 +0000 2022,เฮ้ยอันนี้เจ๋ง มหาวิทยาลัยมหิดลเปิดคอร์สเรียนออนไลน์ มีหลายสาขาวิชามากตั้งแต่ ฝึกพูด อ่าน เขียน ภาษาอังกฤษ ไปจนพยาบาลศาสตร์ จิตวิทยา การบริหาร บัญชี เอาง่ายๆมีแทบหมด แถมถ้าเรียนจบคอร์สมีใบ Certificate ให้ด้วย และย้ำ!! มันฟรี!! ไปเลย ไปตำ Link: https://t.co/zbtXKNwH7f https://t.co/bxh4Zcq488,https://x.com/undefined/status/1534011353597218816,             Certificate      Link  
Mon Oct 09 04:50:52 +0000 2023,Buat yang nyari Pelatihan kursus online berserifikat dan gratis nih listnya: - Coursera - Class central - QuBisa - Alison - Google Digital Garage - Udemy - Digital Talant Schoolarship kominfo - Grow with Google Indonesia Kalo LPK offline gratis dan berserifikat - BLK,https://x.com/undefined/status/1711242802758390123,Buat yang nyari Pelatihan kursus online berserifikat dan gratis nih listnya  Coursera  Class central  QuBisa  Alison  Google Digital Garage  Udemy  Digital Talant Schoolarship kominfo  Grow with Google Indonesia Kalo LPK offline gratis dan berserifikat  BLK
Sat Dec 23 03:01:57 +0000 2023,4 online course gratis buat upgrade skills bersertifikat alison digitalent kominfo edx google garage 4 aplikasi buat jual foto terpercaya iStock shutterstock EyeEm adobe stock web buat jual catatan waktu sekolah/kuliah studypool,https://x.com/undefined/status/1738394486169030862, online course gratis buat upgrade skills bersertifikat alison digitalent kominfo edx google garage  aplikasi buat jual foto terpercaya iStock shutterstock EyeEm adobe stock web buat jual catatan waktu sekolahkuliah studypool
Sun Oct 08 07:32:27 +0000 2023,bootcamp bersertifikat gratis dari pemerintah: studi independen digitalent. kominfo. go. id pelatihan kemenaker chanel untuk belajar cpns: yt privat al-faiz yt viracun yt buku cpns web kitalulus info magang virtual terbaik: rakamin academy,https://x.com/undefined/status/1710921079898907055,bootcamp bersertifikat gratis dari pemerintah studi independen digitalent kominfo go id pelatihan kemenaker chanel untuk belajar cpns yt privat alfaiz yt viracun yt buku cpns web kitalulus info magang virtual terbaik rakamin academy
Mon Sep 20 09:31:23 +0000 2021,Menurutku sistem belajar online kini jauh lebih strategis dibandingkan belajar offline. Dalam thread ini aku ingin berbagi tips praktis untuk memahami materi kuliah/webinar online. A (based on experience) thread. https://t.co/g3IDOz5OzJ,https://x.com/undefined/status/1439884888606318592,Menurutku sistem belajar online kini jauh lebih strategis dibandingkan belajar offline Dalam thread ini aku ingin berbagi tips praktis untuk memahami materi kuliahwebinar online A based on experience thread 
Sun Jul 18 08:43:38 +0000 2021,Pembelajaran Jarak Jauh (PJJ) bagi sebagian orang lebih sulit dibandingkan dengan belajar bertatap muka secara langsung terutama dalam memahami materi. Disini Aku mau nyoba share beberapa tips yg aku pake selama kuliah online agar lebih mudah memahami materi. - a thread - https://t.co/KGohrQTghx,https://x.com/undefined/status/1416680047465832452,Pembelajaran Jarak Jauh PJJ bagi sebagian orang lebih sulit dibandingkan dengan belajar bertatap muka secara langsung terutama dalam memahami materi Disini Aku mau nyoba share beberapa tips yg aku pake selama kuliah online agar lebih mudah memahami materi  a thread  
